Id,ActivityHour,TotalIntensity
1503960366,3/12/2016 9:00:00 AM,1
1503960366,3/12/2016 10:00:00 AM,26
1503960366,3/12/2016 11:00:00 AM,49
1503960366,3/12/2016 12:00:00 PM,47
1503960366,3/12/2016 1:00:00 PM,20
1503960366,3/12/2016 2:00:00 PM,121
1503960366,3/12/2016 3:00:00 PM,129
1503960366,3/12/2016 4:00:00 PM,42
1503960366,3/12/2016 5:00:00 PM,20
1503960366,3/12/2016 6:00:00 PM,2
1503960366,3/12/2016 7:00:00 PM,30
1503960366,3/12/2016 8:00:00 PM,4
1503960366,3/12/2016 9:00:00 PM,29
1503960366,3/12/2016 10:00:00 PM,41
1503960366,3/12/2016 11:00:00 PM,35
1503960366,3/13/2016 12:00:00 AM,3
1503960366,3/13/2016 2:00:00 AM,1
1503960366,3/13/2016 8:00:00 AM,1
1503960366,3/13/2016 9:00:00 AM,5
1503960366,3/13/2016 10:00:00 AM,85
1503960366,3/13/2016 11:00:00 AM,130
1503960366,3/13/2016 12:00:00 PM,3
1503960366,3/13/2016 1:00:00 PM,9
1503960366,3/13/2016 2:00:00 PM,3
1503960366,3/13/2016 3:00:00 PM,23
1503960366,3/13/2016 4:00:00 PM,25
1503960366,3/13/2016 5:00:00 PM,5
1503960366,3/13/2016 6:00:00 PM,110
1503960366,3/13/2016 7:00:00 PM,57
1503960366,3/13/2016 8:00:00 PM,25
1503960366,3/13/2016 9:00:00 PM,9
1503960366,3/13/2016 10:00:00 PM,17
1503960366,3/13/2016 11:00:00 PM,46
1503960366,3/14/2016 12:00:00 AM,4
1503960366,3/14/2016 1:00:00 AM,3
1503960366,3/14/2016 7:00:00 AM,3
1503960366,3/14/2016 8:00:00 AM,14
1503960366,3/14/2016 9:00:00 AM,61
1503960366,3/14/2016 10:00:00 AM,4
1503960366,3/14/2016 11:00:00 AM,14
1503960366,3/14/2016 12:00:00 PM,9
1503960366,3/14/2016 1:00:00 PM,1
1503960366,3/14/2016 2:00:00 PM,6
1503960366,3/14/2016 3:00:00 PM,13
1503960366,3/14/2016 4:00:00 PM,11
1503960366,3/14/2016 5:00:00 PM,17
1503960366,3/14/2016 6:00:00 PM,29
1503960366,3/14/2016 7:00:00 PM,33
1503960366,3/14/2016 8:00:00 PM,45
1503960366,3/14/2016 9:00:00 PM,12
1503960366,3/14/2016 11:00:00 PM,90
1503960366,3/15/2016 12:00:00 AM,3
1503960366,3/15/2016 1:00:00 AM,2
1503960366,3/15/2016 2:00:00 AM,4
1503960366,3/15/2016 4:00:00 AM,1
1503960366,3/15/2016 6:00:00 AM,1
1503960366,3/15/2016 7:00:00 AM,1
1503960366,3/15/2016 8:00:00 AM,28
1503960366,3/15/2016 9:00:00 AM,49
1503960366,3/15/2016 10:00:00 AM,17
1503960366,3/15/2016 11:00:00 AM,34
1503960366,3/15/2016 12:00:00 PM,49
1503960366,3/15/2016 1:00:00 PM,16
1503960366,3/15/2016 2:00:00 PM,26
1503960366,3/15/2016 3:00:00 PM,14
1503960366,3/15/2016 4:00:00 PM,27
1503960366,3/15/2016 5:00:00 PM,19
1503960366,3/15/2016 6:00:00 PM,15
1503960366,3/15/2016 7:00:00 PM,16
1503960366,3/15/2016 8:00:00 PM,86
1503960366,3/15/2016 9:00:00 PM,35
1503960366,3/15/2016 10:00:00 PM,37
1503960366,3/15/2016 11:00:00 PM,15
1503960366,3/16/2016 2:00:00 AM,1
1503960366,3/16/2016 7:00:00 AM,6
1503960366,3/16/2016 8:00:00 AM,27
1503960366,3/16/2016 9:00:00 AM,27
1503960366,3/16/2016 10:00:00 AM,12
1503960366,3/16/2016 11:00:00 AM,36
1503960366,3/16/2016 12:00:00 PM,34
1503960366,3/16/2016 1:00:00 PM,16
1503960366,3/16/2016 2:00:00 PM,3
1503960366,3/16/2016 3:00:00 PM,19
1503960366,3/16/2016 4:00:00 PM,28
1503960366,3/16/2016 5:00:00 PM,43
1503960366,3/16/2016 6:00:00 PM,74
1503960366,3/16/2016 7:00:00 PM,7
1503960366,3/16/2016 8:00:00 PM,16
1503960366,3/16/2016 9:00:00 PM,49
1503960366,3/16/2016 10:00:00 PM,18
1503960366,3/16/2016 11:00:00 PM,18
1503960366,3/17/2016 12:00:00 AM,11
1503960366,3/17/2016 1:00:00 AM,1
1503960366,3/17/2016 2:00:00 AM,1
1503960366,3/17/2016 7:00:00 AM,1
1503960366,3/17/2016 8:00:00 AM,11
1503960366,3/17/2016 9:00:00 AM,27
1503960366,3/17/2016 10:00:00 AM,11
1503960366,3/17/2016 11:00:00 AM,54
1503960366,3/17/2016 12:00:00 PM,11
1503960366,3/17/2016 1:00:00 PM,23
1503960366,3/17/2016 2:00:00 PM,25
1503960366,3/17/2016 3:00:00 PM,20
1503960366,3/17/2016 4:00:00 PM,24
1503960366,3/17/2016 5:00:00 PM,5
1503960366,3/17/2016 6:00:00 PM,15
1503960366,3/17/2016 7:00:00 PM,64
1503960366,3/17/2016 8:00:00 PM,16
1503960366,3/17/2016 9:00:00 PM,49
1503960366,3/17/2016 10:00:00 PM,31
1503960366,3/17/2016 11:00:00 PM,35
1503960366,3/18/2016 12:00:00 AM,13
1503960366,3/18/2016 1:00:00 AM,6
1503960366,3/18/2016 5:00:00 AM,1
1503960366,3/18/2016 6:00:00 AM,2
1503960366,3/18/2016 8:00:00 AM,11
1503960366,3/18/2016 9:00:00 AM,36
1503960366,3/18/2016 10:00:00 AM,12
1503960366,3/18/2016 11:00:00 AM,12
1503960366,3/18/2016 12:00:00 PM,4
1503960366,3/18/2016 1:00:00 PM,7
1503960366,3/18/2016 2:00:00 PM,86
1503960366,3/18/2016 3:00:00 PM,33
1503960366,3/18/2016 4:00:00 PM,14
1503960366,3/18/2016 5:00:00 PM,2
1503960366,3/18/2016 6:00:00 PM,16
1503960366,3/18/2016 7:00:00 PM,110
1503960366,3/18/2016 8:00:00 PM,21
1503960366,3/18/2016 9:00:00 PM,14
1503960366,3/18/2016 10:00:00 PM,2
1503960366,3/18/2016 11:00:00 PM,12
1503960366,3/19/2016 12:00:00 AM,5
1503960366,3/19/2016 3:00:00 AM,1
1503960366,3/19/2016 7:00:00 AM,2
1503960366,3/19/2016 8:00:00 AM,28
1503960366,3/19/2016 9:00:00 AM,69
1503960366,3/19/2016 10:00:00 AM,54
1503960366,3/19/2016 11:00:00 AM,37
1503960366,3/19/2016 12:00:00 PM,27
1503960366,3/19/2016 1:00:00 PM,13
1503960366,3/19/2016 2:00:00 PM,14
1503960366,3/19/2016 3:00:00 PM,6
1503960366,3/19/2016 4:00:00 PM,8
1503960366,3/19/2016 5:00:00 PM,10
1503960366,3/19/2016 6:00:00 PM,3
1503960366,3/19/2016 7:00:00 PM,26
1503960366,3/19/2016 8:00:00 PM,22
1503960366,3/19/2016 9:00:00 PM,6
1503960366,3/19/2016 10:00:00 PM,31
1503960366,3/19/2016 11:00:00 PM,111
1503960366,3/20/2016 12:00:00 AM,7
1503960366,3/20/2016 9:00:00 AM,36
1503960366,3/20/2016 10:00:00 AM,113
1503960366,3/20/2016 11:00:00 AM,42
1503960366,3/20/2016 12:00:00 PM,20
1503960366,3/20/2016 1:00:00 PM,18
1503960366,3/20/2016 2:00:00 PM,29
1503960366,3/20/2016 3:00:00 PM,29
1503960366,3/20/2016 4:00:00 PM,22
1503960366,3/20/2016 5:00:00 PM,25
1503960366,3/20/2016 6:00:00 PM,36
1503960366,3/20/2016 7:00:00 PM,40
1503960366,3/20/2016 8:00:00 PM,14
1503960366,3/20/2016 9:00:00 PM,4
1503960366,3/20/2016 10:00:00 PM,3
1503960366,3/20/2016 11:00:00 PM,23
1503960366,3/21/2016 12:00:00 AM,5
1503960366,3/21/2016 3:00:00 AM,2
1503960366,3/21/2016 7:00:00 AM,6
1503960366,3/21/2016 8:00:00 AM,27
1503960366,3/21/2016 9:00:00 AM,17
1503960366,3/21/2016 10:00:00 AM,17
1503960366,3/21/2016 11:00:00 AM,17
1503960366,3/21/2016 12:00:00 PM,51
1503960366,3/21/2016 1:00:00 PM,9
1503960366,3/21/2016 2:00:00 PM,19
1503960366,3/21/2016 3:00:00 PM,16
1503960366,3/21/2016 4:00:00 PM,20
