Id,ActivityHour,StepTotal,TotalIntensity,Calories
1503960366,3/12/2016 10:00:00 AM,551,26,89
1503960366,3/12/2016 11:00:00 AM,1764,49,134
1503960366,3/12/2016 12:00:00 PM,1259,47,130
1503960366,3/12/2016 1:00:00 PM,253,20,81
1503960366,3/12/2016 2:00:00 PM,4470,121,254
1503960366,3/12/2016 3:00:00 PM,4919,129,271
1503960366,3/12/2016 4:00:00 PM,1905,42,141
1503960366,3/12/2016 5:00:00 PM,1038,20,104
1503960366,3/12/2016 7:00:00 PM,606,30,97
1503960366,3/12/2016 8:00:00 PM,56,4,58
1503960366,3/12/2016 9:00:00 PM,782,29,100
1503960366,3/12/2016 10:00:00 PM,1132,41,123
1503960366,3/12/2016 11:00:00 PM,918,35,111
1503960366,3/13/2016 12:00:00 AM,39,3,55
1503960366,3/13/2016 9:00:00 AM,73,5,56
1503960366,3/13/2016 10:00:00 AM,2850,85,189
1503960366,3/13/2016 11:00:00 AM,4854,130,270
1503960366,3/13/2016 1:00:00 PM,118,9,66
1503960366,3/13/2016 2:00:00 PM,19,3,57
1503960366,3/13/2016 3:00:00 PM,510,23,89
1503960366,3/13/2016 4:00:00 PM,510,25,91
1503960366,3/13/2016 5:00:00 PM,96,5,61
1503960366,3/13/2016 6:00:00 PM,4100,110,237
1503960366,3/13/2016 7:00:00 PM,1756,57,146
1503960366,3/13/2016 8:00:00 PM,477,25,87
1503960366,3/13/2016 9:00:00 PM,147,9,66
1503960366,3/13/2016 10:00:00 PM,214,17,72
1503960366,3/13/2016 11:00:00 PM,1286,46,118
1503960366,3/14/2016 12:00:00 AM,54,4,56
1503960366,3/14/2016 8:00:00 AM,212,14,68
1503960366,3/14/2016 9:00:00 AM,2832,61,199
1503960366,3/14/2016 10:00:00 AM,43,4,59
1503960366,3/14/2016 11:00:00 AM,220,14,72
1503960366,3/14/2016 12:00:00 PM,181,9,66
1503960366,3/14/2016 2:00:00 PM,44,6,59
1503960366,3/14/2016 3:00:00 PM,205,13,71
1503960366,3/14/2016 4:00:00 PM,152,11,68
1503960366,3/14/2016 5:00:00 PM,226,17,76
1503960366,3/14/2016 6:00:00 PM,516,29,96
1503960366,3/14/2016 7:00:00 PM,559,33,100
1503960366,3/14/2016 8:00:00 PM,1104,45,124
1503960366,3/14/2016 9:00:00 PM,252,12,67
1503960366,3/14/2016 11:00:00 PM,3305,90,198
1503960366,3/15/2016 12:00:00 AM,33,3,56
1503960366,3/15/2016 1:00:00 AM,20,2,55
1503960366,3/15/2016 8:00:00 AM,470,28,91
1503960366,3/15/2016 9:00:00 AM,1967,49,148
1503960366,3/15/2016 10:00:00 AM,729,17,92
1503960366,3/15/2016 11:00:00 AM,659,34,104
1503960366,3/15/2016 12:00:00 PM,1787,49,142
1503960366,3/15/2016 1:00:00 PM,333,16,77
1503960366,3/15/2016 2:00:00 PM,980,26,107
1503960366,3/15/2016 3:00:00 PM,371,14,77
1503960366,3/15/2016 4:00:00 PM,605,27,96
1503960366,3/15/2016 5:00:00 PM,623,19,90
1503960366,3/15/2016 6:00:00 PM,467,15,82
1503960366,3/15/2016 7:00:00 PM,282,16,75
1503960366,3/15/2016 8:00:00 PM,3319,86,207
1503960366,3/15/2016 9:00:00 PM,1558,35,131
1503960366,3/15/2016 10:00:00 PM,786,37,108
1503960366,3/15/2016 11:00:00 PM,313,15,76
1503960366,3/16/2016 7:00:00 AM,70,6,56
1503960366,3/16/2016 8:00:00 AM,490,27,91
1503960366,3/16/2016 9:00:00 AM,1513,27,125
1503960366,3/16/2016 10:00:00 AM,224,12,73
1503960366,3/16/2016 11:00:00 AM,874,36,105
1503960366,3/16/2016 12:00:00 PM,1451,34,124
1503960366,3/16/2016 1:00:00 PM,329,16,79
1503960366,3/16/2016 2:00:00 PM,61,3,61
1503960366,3/16/2016 3:00:00 PM,456,19,86
1503960366,3/16/2016 4:00:00 PM,775,28,103
1503960366,3/16/2016 5:00:00 PM,1446,43,122
1503960366,3/16/2016 6:00:00 PM,2407,74,166
1503960366,3/16/2016 7:00:00 PM,103,7,59
1503960366,3/16/2016 8:00:00 PM,447,16,72
1503960366,3/16/2016 9:00:00 PM,2120,49,146
1503960366,3/16/2016 10:00:00 PM,273,18,78
1503960366,3/16/2016 11:00:00 PM,455,18,82
1503960366,3/17/2016 12:00:00 AM,263,11,70
1503960366,3/17/2016 8:00:00 AM,210,11,67
1503960366,3/17/2016 9:00:00 AM,1530,27,125
1503960366,3/17/2016 10:00:00 AM,124,11,69
1503960366,3/17/2016 11:00:00 AM,1803,54,148
1503960366,3/17/2016 12:00:00 PM,113,11,70
1503960366,3/17/2016 1:00:00 PM,1124,23,113
1503960366,3/17/2016 2:00:00 PM,1160,25,119
1503960366,3/17/2016 3:00:00 PM,409,20,86
1503960366,3/17/2016 4:00:00 PM,631,24,94
1503960366,3/17/2016 5:00:00 PM,203,5,66
1503960366,3/17/2016 6:00:00 PM,396,15,76
1503960366,3/17/2016 7:00:00 PM,2165,64,158
1503960366,3/17/2016 8:00:00 PM,147,16,75
1503960366,3/17/2016 9:00:00 PM,2016,49,146
1503960366,3/17/2016 10:00:00 PM,521,31,97
1503960366,3/17/2016 11:00:00 PM,1176,35,118
1503960366,3/18/2016 12:00:00 AM,389,13,76
1503960366,3/18/2016 1:00:00 AM,112,6,58
1503960366,3/18/2016 8:00:00 AM,172,11,67
1503960366,3/18/2016 9:00:00 AM,1952,36,147
1503960366,3/18/2016 10:00:00 AM,279,12,73
1503960366,3/18/2016 11:00:00 AM,207,12,72
1503960366,3/18/2016 12:00:00 PM,145,4,64
1503960366,3/18/2016 1:00:00 PM,242,7,68
1503960366,3/18/2016 2:00:00 PM,3160,86,207
1503960366,3/18/2016 3:00:00 PM,852,33,101
1503960366,3/18/2016 4:00:00 PM,270,14,76
1503960366,3/18/2016 5:00:00 PM,24,2,59
1503960366,3/18/2016 6:00:00 PM,444,16,82
1503960366,3/18/2016 7:00:00 PM,4093,110,238
1503960366,3/18/2016 8:00:00 PM,1445,21,121
1503960366,3/18/2016 9:00:00 PM,332,14,72
1503960366,3/18/2016 11:00:00 PM,390,12,74
1503960366,3/19/2016 12:00:00 AM,138,5,57
1503960366,3/19/2016 8:00:00 AM,538,28,92
1503960366,3/19/2016 9:00:00 AM,3454,69,216
1503960366,3/19/2016 10:00:00 AM,2106,54,148
1503960366,3/19/2016 11:00:00 AM,1307,37,130
1503960366,3/19/2016 12:00:00 PM,909,27,109
1503960366,3/19/2016 1:00:00 PM,303,13,74
1503960366,3/19/2016 2:00:00 PM,150,14,71
1503960366,3/19/2016 3:00:00 PM,123,6,61
1503960366,3/19/2016 4:00:00 PM,127,8,63
1503960366,3/19/2016 5:00:00 PM,198,10,69
1503960366,3/19/2016 6:00:00 PM,50,3,58
1503960366,3/19/2016 7:00:00 PM,533,26,92
1503960366,3/19/2016 8:00:00 PM,433,22,86
1503960366,3/19/2016 9:00:00 PM,75,6,58
1503960366,3/19/2016 10:00:00 PM,850,31,97
1503960366,3/19/2016 11:00:00 PM,4067,111,234
1503960366,3/20/2016 12:00:00 AM,115,7,64
1503960366,3/20/2016 9:00:00 AM,1109,36,119
1503960366,3/20/2016 10:00:00 AM,5000,113,294
1503960366,3/20/2016 11:00:00 AM,1117,42,121
1503960366,3/20/2016 12:00:00 PM,312,20,82
1503960366,3/20/2016 1:00:00 PM,343,18,80
1503960366,3/20/2016 2:00:00 PM,578,29,96
1503960366,3/20/2016 3:00:00 PM,876,29,109
1503960366,3/20/2016 4:00:00 PM,1373,22,116
1503960366,3/20/2016 5:00:00 PM,1841,25,142
1503960366,3/20/2016 6:00:00 PM,638,36,104
1503960366,3/20/2016 7:00:00 PM,718,40,109
1503960366,3/20/2016 8:00:00 PM,421,14,76
1503960366,3/20/2016 9:00:00 PM,78,4,55
1503960366,3/20/2016 10:00:00 PM,57,3,57
1503960366,3/20/2016 11:00:00 PM,552,23,87
1503960366,3/21/2016 12:00:00 AM,97,5,58
1503960366,3/21/2016 7:00:00 AM,55,6,56
1503960366,3/21/2016 8:00:00 AM,1114,27,116
1503960366,3/21/2016 9:00:00 AM,1113,17,104
1503960366,3/21/2016 10:00:00 AM,308,17,79
1503960366,3/21/2016 11:00:00 AM,467,17,82
